"Däärmli","(n, -eni): Hermelin, gr. Wiesel (wh 71). SYN: Äärmli.","[wh: ""in Anlehnung zu Darm gebildet""; doch eher mit falscher Worttrennung aus dem Plural d'Äärmli ]"
"daas","(Pron.): dieses, das da; Nom. od. Akk. Sg. neutr.: wen i daas köört ha (Ta2); ùf daas hii daraufhin (pk); das isch de Voorbrann, nachäär tuet daas nomaau uufchoche (Haas: Pl); s. Anhang 2.",""
"daa·zù·maaḷ","(Part.): dazumal, vor langer Zeit (We1 Re1 Pl1); ano daazumaaḷ (We1 Re1); SYN: dùmale.",""
"Dach","s. Tach.",""
"Dachbett"," s. Tachbett.",""
"dadǜǜr"," s. dedǜǜr.",""
"dahäär·choo","(isch -choo): gekleidet sein; zB sauber, vornehm, verlottert ""daherkommen"" (Si1); ; isch dää tschäärpeleta ù ghengeleta dehäär cho (aj Rollimoos137).","[auch dehäär cho (aj)]"
"dahäär·schnuppe","(-gschnuppet): keuchend ankommen, atmend hinzutreten: da chunt (...) die dicke Grossmattera dahärgschnuppet u wott ds Chin zura näh (vs 1913,28); ↑ grittne, pyyschte.",""
"dahiim"," s. dehiim.",""
"da·iinisch","(Part.): kürzlich, letzthin (Fr2 He2). SYN: vùrwiche.",""
"Dama"," s. Damm.",""
"Damescheli","(n, -eni): a) wohlhabendes Fräulein (wh 47, 150); ↑ Fröläyn, Frou. b) abschätzig für zimperliches Mädchen (Gu1 SE1 Üb2 Re2); syg jitz nit as zùckerigs Damischeli (vs GuC64); as Damescheli het hooji Stögeli ùn as chùurzes Pänteli (Dü1); vgl. Anhang 1.","[auch Damischeli (vs), Dammscheli (Re2) (r) frz demoiselle 'Fräulein' (r) veraltet (r) oft nur noch passiv bekannt aus Volkssagen]"
"Damm","(f, -e): Dame im Kartenspiel (wh 23, 100, 148); ↑Jass. ZSS: Chrütz~, Egge~, Häärz~, Schufḷ~.","[auch Dama (Wü2)]"
"dampfe","(t-et): dampfen, a) beim Gären des Heustocks (Dü1); SYN: tùùme. b) brodeln, brausen vom siedenden Wasser (Dü1 Wü1); ↑mödele1. ZSS: ab~.",""
"dämsse"," s. demse.",""
"dan","(Art.): den, betont; Akk. Sg. mask.: e ha me weder dan Hömmel o gege dier versöndeget (Stalder 1819: OL); vgl. Anhang 2.",""
"däna","(Part.): weg, fort (Gu1 Dü1 Üb1 Fr1 ML1 Gi2 Re1 Si1 Pl1 Ss1); [di Obere he as Automobil kuft], damit si rächt reez drus u dänna chenni (21.9.1907); SYN: awägg.","[auch dena (Gi2), däni (Ta1) (r) veraltet (r) ahd danana, danna, mhd dannen 'weg, fort'; vgl. hochdt von dannen 'weg' (r) Id 13,84]"
"danaha","(Part.): in jüngster Zeit, letzthin (allg1 Wü2 Üb2 ML2 OL2 / wh 112); defǜǜr chùnt mù da naha so mengergattig i Siin (pb Isi44); SYN: vùrwiche.","[auch danacha (Gu1 Wü2 He1) (r) lebendig (r) aus *dâ-nâch-hër (aleman -har) 'danach, nachher' (r) Id 2,1564]"
